gene,hits
SDCCAG8,1
ZBTB18,1
DESI2,0
COX20,0
CNST,1
SCCPDH,0
RP11-439E19.10,0
LINC01341,1
ZNF672,0
AL672294.1,0
PGBD2,0
WASH7P,0
FO538757.2,0
RP11-206L10.2,0
RP11-206L10.8,0
LINC00115,0
RP11-54O7.3,0
NOC2L,0
RP11-54O7.17,0
HES4,1
RNF223,0
C1orf159,0
TNFRSF18,1
SDF4,1
UBE2J2,0
ACAP3,0
CPSF3L,0
DVL1,5
MXRA8,0
AURKAIP1,0
CCNL2,0
MRPL20,0
RP4-758J18.10,0
TMEM240,0
SSU72,0
C1orf233,0
RP11-345P4.9,0
CDK11B,0
SLC35E2B,0
CDK11A,0
SLC35E2,0
NADK,0
GNB1,0
TMEM52,0
RP11-181G12.2,0
FAAP20,0
MORN1,0
RP4-740C4.5,0
PEX10,0
PANK4,0
MMEL1,0
MEGF6,0
WRAP73,0
RP5-1092A11.5,0
TP73-AS1,0
LRRC47,0
CEP104,0
C1orf174,0
NPHP4,0
CHD5,2
RPL22,0
RP1-120G22.11,0
ICMT,3
GPR153,0
ACOT7,0
HES2,1
PLEKHG5,0
NOL9,0
KLHL21,0
DNAJC11,0
RP11-312B8.1,0
RP11-338N10.3,0
ERRFI1,1
RERE,1
ENO1,10
SLC2A5,1
GPR157,0
PIK3CD-AS2,0
CLSTN1,3
CTNNBIP1,1
LZIC,0
DFFA,0
CASZ1,1
SRM,32
EXOSC10,0
MTOR,826
FBXO2,0
MAD2L2,4
MTHFR,39
KIAA2013,0
DHRS3,0
CASP9,94
AGMAT,0
UQCRHL,0
FLJ37453,0
ZBTB17,2
EPHA2,74
ARHGEF19,0
RSG1,0
FBXO42,0
CROCCP3,0
NBPF1,0
CROCCP2,0
EIF1AXP1,0
RP11-108M9.6,0
ATP13A2,0
SDHB,4
PADI2,2
RCC2,0
ALDH4A1,0
IFFO2,0
UBR4,0
EMC1,0
AKR7A2,0
CAPZB,0
TMCO4,0
PLA2G2A,6
CAMK2N1,6
MUL1,1
DDOST,0
HP1BP3,0
EIF4G3,0
ECE1,10
NBPF2P,0
RAP1GAP,4
USP48,0
HSPG2,6
LUZP1,0
LINC01355,0
HNRNPR,0
ZNF436,0
RP5-1057J7.7,0
TCEA3,0
ASAP3,0
E2F2,10
RP1-150O5.3,0
ID3,24
TCEB3-AS1,0
GALE,18
HMGCL,1
FUCA1,0
SRSF10,0
STPG1,0
SYF2,0
RSRP1,1
RP3-465N24.5,0
RP11-335G20.7,0
AUNIP,0
PAQR7,0
STMN1,22
PAFAH2,0
UBXN11,0
RP5-968P14.2,0
GPN2,0
GPATCH3,0
KDF1,0
SLC9A1,2
MAP3K6,0
WASF2,2
AHDC1,0
IFI6,0
AL109927.1,0
RPA2,2
EYA3,0
SPCS2P4,0
DNAJC8,0
RP5-1092A3.4,0
SNHG12,2
TAF12,0
SRSF4,0
MECR,0
SDC3,0
PUM1,1
NKAIN1,1
SNRNP40,0
RP11-490K7.4,0
PEF1,0
ADGRB2,0
PTP4A2,0
RP4-622L5.7,0
TMEM234,0
MTMR9LP,0
MARCKSL1,3
FAM229A,0
BSDC1,0
ZBTB8OS,0
YARS,0
TMEM54,0
RNF19B,0
AK2,0
TRIM62,0
PHC2,0
SMIM12,0
DLGAP3,0
RP11-244H3.1,0
ZMYM6NB,0
ZMYM6,0
SFPQ,6
KIAA0319L,0
PSMB2,1
C1orf216,0
CLSPN,1
TRAPPC3,0
EVA1B,0
STK40,0
LSM10,0
OSCP1,2
MRPS15,0
LINC01137,0
MEAF6,1
SNIP1,0
GNL2,0
C1orf109,0
EPHA10,3
YRDC,1
MTF1,1
INPP5B,0
SF3A3,1
FHL3,2
RRAGC,0
MYCBP,7
RP11-69E11.4,0
PPIEL,0
PABPC4,1
BMP8B,0
TRIT1,0
MYCL,3
PPT1,0
RP1-39G22.7,0
COL9A2,1
RP11-656D10.3,0
RIMS3,0
NFYC-AS1,0
CITED4,0
SCMH1,0
EDN2,0
FOXJ3,1
ZMYND12,0
P3H1,0
CCDC23,0
SLC2A1,28
EBNA1BP2,1
C1orf210,0
RP1-92O14.3,0
ELOVL1,0
MED8,1
HYI,0
RP11-7O11.3,0
SLC6A9,0
RP11-570P14.1,0
ERI3,1
ERI3-IT1,0
TMEM53,0
RPS15AP11,0
TCTEX1D4,0
RP5-882O7.1,0
EIF2B3,0
HECTD3,0
ZSWIM5,0
MUTYH,11
TESK2,0
CCDC163P,0
PRDX1,9
AL355480.3,0
AL355480.1,0
GPBP1L1,0
RPS15AP10,0
RP11-767N6.2,0
RP11-767N6.7,0
IPP,28
PIK3R3,5
POMGNT1,1
LRRC41,0
MKNK1,4
MOB3C,0
ATPAF1,1
